cif,band_gap,mp_id,pretty_formula
"# generated using pymatgen
data_BiIO
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.02722535
_cell_length_b   4.02722535
_cell_length_c   9.46864741
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   BiIO
_chemical_formula_sum   'Bi2 I2 O2'
_cell_volume   153.56767483
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  I  I0  1  0.000000  0.500000  0.671632  1
  I  I1  1  0.500000  0.000000  0.328368  1
  B  B2  1  0.000000  0.500000  0.130815  1
  B  B3  1  0.500000  0.000000  0.869185  1
  O  O4  1  0.000000  0.000000  0.000000  1
  O  O5  1  0.500000  0.500000  0.000000  1
",1.4833,mp-22987,BiIO
"# generated using pymatgen
data_Li2Fe2Si2O7
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   8.37788425
_cell_length_b   13.37143855
_cell_length_c   5.53153586
_cell_angle_alpha   90.00000000
_cell_angle_beta   89.51424455
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Li2Fe2Si2O7
_chemical_formula_sum   'Li8 Fe8 Si8 O28'
_cell_volume   619.64451943
_cell_formula_units_Z   4
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Li  Li0  1  0.105619  0.373643  0.133791  1
  Li  Li1  1  0.167435  0.753571  0.804460  1
  Li  Li2  1  0.332565  0.253571  0.695540  1
  Li  Li3  1  0.394381  0.873643  0.366209  1
  Li  Li4  1  0.605619  0.126357  0.633791  1
  Li  Li5  1  0.667435  0.746429  0.304460  1
  Li  Li6  1  0.832565  0.246429  0.195540  1
  Li  Li7  1  0.894381  0.626357  0.866209  1
  Fe  Fe8  1  0.117801  0.086653  0.330715  1
  Fe  Fe9  1  0.204977  0.491956  0.623644  1
  Fe  Fe10  1  0.295023  0.991956  0.876356  1
  Fe  Fe11  1  0.382199  0.586653  0.169285  1
  Fe  Fe12  1  0.617801  0.413347  0.830715  1
  Fe  Fe13  1  0.704977  0.008044  0.123644  1
  Fe  Fe14  1  0.795023  0.508044  0.376356  1
  Fe  Fe15  1  0.882199  0.913347  0.669285  1
  Si  Si16  1  0.034326  0.882610  0.199502  1
  Si  Si17  1  0.035603  0.670682  0.332597  1
  Si  Si18  1  0.464397  0.170682  0.167403  1
  Si  Si19  1  0.465674  0.382610  0.300498  1
  Si  Si20  1  0.534326  0.617390  0.699502  1
  Si  Si21  1  0.535603  0.829318  0.832597  1
  Si  Si22  1  0.964397  0.329318  0.667403  1
  Si  Si23  1  0.965674  0.117390  0.800498  1
  O  O24  1  0.029355  0.792383  0.408800  1
  O  O25  1  0.008717  0.162387  0.063638  1
  O  O26  1  0.094972  0.034898  0.695560  1
  O  O27  1  0.067695  0.616267  0.595070  1
  O  O28  1  0.140732  0.360099  0.775341  1
  O  O29  1  0.171032  0.655964  0.122590  1
  O  O30  1  0.209927  0.938158  0.205578  1
  O  O31  1  0.290073  0.438158  0.294422  1
  O  O32  1  0.328968  0.155964  0.377410  1
  O  O33  1  0.359268  0.860099  0.724659  1
  O  O34  1  0.432305  0.116267  0.904930  1
  O  O35  1  0.405028  0.534898  0.804440  1
  O  O36  1  0.491283  0.662387  0.436362  1
  O  O37  1  0.470645  0.292383  0.091200  1
  O  O38  1  0.529355  0.707617  0.908800  1
  O  O39  1  0.508717  0.337613  0.563638  1
  O  O40  1  0.594972  0.465102  0.195560  1
  O  O41  1  0.567695  0.883733  0.095070  1
  O  O42  1  0.640732  0.139901  0.275341  1
  O  O43  1  0.671032  0.844036  0.622590  1
  O  O44  1  0.709927  0.561842  0.705578  1
  O  O45  1  0.790073  0.061842  0.794422  1
  O  O46  1  0.828968  0.344036  0.877410  1
  O  O47  1  0.859268  0.639901  0.224659  1
  O  O48  1  0.932305  0.383733  0.404930  1
  O  O49  1  0.905028  0.965102  0.304440  1
  O  O50  1  0.991283  0.837613  0.936362  1
  O  O51  1  0.970645  0.207617  0.591200  1
",2.8384,mp-759016,Li2Fe2Si2O7
"# generated using pymatgen
data_Li9Co7O16
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.98847902
_cell_length_b   5.76042498
_cell_length_c   10.12783442
_cell_angle_alpha   73.47786527
_cell_angle_beta   99.60510310
_cell_angle_gamma   89.99999346
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Li9Co7O16
_chemical_formula_sum   'Li9 Co7 O16'
_cell_volume   274.75602935
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Li  Li0  1  0.249508  0.624350  0.242030  1
  Li  Li1  1  0.750492  0.375650  0.757970  1
  Li  Li2  1  0.249508  0.133620  0.242030  1
  Li  Li3  1  0.750294  0.379836  0.240329  1
  Li  Li4  1  0.255264  0.121505  0.756989  1
  Li  Li5  1  0.744736  0.878495  0.243011  1
  Li  Li6  1  0.750492  0.866380  0.757970  1
  Li  Li7  1  0.249706  0.620164  0.759671  1
  Li  Li8  1  0.000000  0.500000  -0.000000  1
  Co  Co9  1  0.000000  0.000000  -0.000000  1
  Co  Co10  1  0.500000  0.253529  1.000000  1
  Co  Co11  1  0.499815  0.749393  0.501214  1
  Co  Co12  1  0.500185  0.250607  0.498786  1
  Co  Co13  1  0.000000  0.500000  0.500000  1
  Co  Co14  1  0.000000  0.000000  0.500000  1
  Co  Co15  1  0.500000  0.746471  0.000000  1
  O  O16  1  0.861034  0.714658  0.109029  1
  O  O17  1  0.380949  0.440977  0.615065  1
  O  O18  1  0.861034  0.176313  0.109029  1
  O  O19  1  0.397497  0.444674  0.110651  1
  O  O20  1  0.852738  0.193829  0.612343  1
  O  O21  1  0.364986  0.946613  0.106775  1
  O  O22  1  0.380949  0.943958  0.615065  1
  O  O23  1  0.852228  0.692128  0.615745  1
  O  O24  1  0.619051  0.559023  0.384935  1
  O  O25  1  0.138966  0.285342  0.890971  1
  O  O26  1  0.619051  0.056042  0.384935  1
  O  O27  1  0.147772  0.307872  0.384255  1
  O  O28  1  0.635014  0.053387  0.893225  1
  O  O29  1  0.147262  0.806171  0.387657  1
  O  O30  1  0.138966  0.823687  0.890971  1
  O  O31  1  0.602503  0.555326  0.889349  1
",0,mp-1175415,Li9Co7O16
"# generated using pymatgen
data_Li2Co3SnO8
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.76607501
_cell_length_b   5.76607532
_cell_length_c   5.95811779
_cell_angle_alpha   61.06062969
_cell_angle_beta   118.93938049
_cell_angle_gamma   119.99999556
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Li2Co3SnO8
_chemical_formula_sum   'Li2 Co3 Sn1 O8'
_cell_volume   142.27680111
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Li  Li0  1  0.884803  0.115197  0.654410  1
  Li  Li1  1  0.115197  0.884803  0.345590  1
  Co  Co2  1  0.500000  0.500000  0.000000  1
  Co  Co3  1  0.500000  0.000000  0.000000  1
  Co  Co4  1  0.000000  0.500000  0.000000  1
  Sn  Sn5  1  0.500000  0.500000  0.500000  1
  O  O6  1  0.748126  0.712035  0.784216  1
  O  O7  1  0.748126  0.251874  0.784216  1
  O  O8  1  0.269648  0.730352  0.808945  1
  O  O9  1  0.287965  0.251874  0.784216  1
  O  O10  1  0.712035  0.748126  0.215784  1
  O  O11  1  0.730352  0.269648  0.191055  1
  O  O12  1  0.251874  0.748126  0.215784  1
  O  O13  1  0.251874  0.287965  0.215784  1
",0,mp-757136,Li2Co3SnO8
"# generated using pymatgen
data_SiO2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.05186371
_cell_length_b   5.05228454
_cell_length_c   5.13582199
_cell_angle_alpha   119.53417744
_cell_angle_beta   119.55136741
_cell_angle_gamma   89.99736465
_symmetry_Int_Tables_number   1
_chemical_formula_structural   SiO2
_chemical_formula_sum   'Si2 O4'
_cell_volume   93.95891867
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  S  S0  1  0.004042  0.997981  0.998087  1
  S  S1  1  0.253937  0.747930  0.497858  1
  O  O2  1  0.220394  0.373128  0.251214  1
  O  O3  1  0.628869  0.964329  0.751383  1
  O  O4  1  0.125438  0.784461  0.744709  1
  O  O5  1  0.040783  0.871777  0.246811  1
",5.7034,mp-546794,SiO2
"# generated using pymatgen
data_Li9V6(P8O29)2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   9.82327943
_cell_length_b   9.78634081
_cell_length_c   14.03718417
_cell_angle_alpha   90.08845392
_cell_angle_beta   90.08982832
_cell_angle_gamma   59.82896610
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Li9V6(P8O29)2
_chemical_formula_sum   'Li9 V6 P16 O58'
_cell_volume   1166.63686577
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Li  Li0  1  0.908178  0.765122  0.060202  1
  Li  Li1  1  0.912194  0.316169  0.559820  1
  Li  Li2  1  0.661557  0.669009  0.885585  1
  Li  Li3  1  0.770367  0.321578  0.061331  1
  Li  Li4  1  0.325710  0.908104  0.062385  1
  Li  Li5  1  0.681647  0.227254  0.441386  1
  Li  Li6  1  0.320971  0.772900  0.558421  1
  Li  Li7  1  0.084804  0.691696  0.439724  1
  Li  Li8  1  0.002634  0.003408  0.993894  1
  V  V9  1  0.567364  0.433548  0.246064  1
  V  V10  1  0.427453  0.570547  0.752007  1
  V  V11  1  0.569484  0.002847  0.746428  1
  V  V12  1  0.432791  0.003177  0.252759  1
  V  V13  1  0.998757  0.566587  0.249528  1
  V  V14  1  0.008187  0.427088  0.751568  1
  P  P15  1  0.909251  0.775392  0.841013  1
  P  P16  1  0.768579  0.916122  0.343694  1
  P  P17  1  0.911668  0.319886  0.343246  1
  P  P18  1  0.665367  0.669076  0.125802  1
  P  P19  1  0.666824  0.665299  0.628737  1
  P  P20  1  0.776859  0.316206  0.843397  1
  P  P21  1  0.682301  0.232690  0.660743  1
  P  P22  1  0.316220  0.913107  0.845493  1
  P  P23  1  0.689641  0.080966  0.156770  1
  P  P24  1  0.320522  0.768363  0.341024  1
  P  P25  1  0.224381  0.689986  0.158408  1
  P  P26  1  0.335820  0.335678  0.370639  1
  P  P27  1  0.335042  0.331253  0.871506  1
  P  P28  1  0.085327  0.683795  0.657440  1
  P  P29  1  0.230243  0.082757  0.659958  1
  P  P30  1  0.085583  0.223151  0.160257  1
  O  O31  1  0.002664  0.751040  0.566255  1
  O  O32  1  0.913975  0.748153  0.341641  1
  O  O33  1  0.785930  0.992102  0.072494  1
  O  O34  1  0.738194  0.917236  0.832530  1
  O  O35  1  0.898503  0.622073  0.829237  1
  O  O36  1  0.810362  0.678786  0.162630  1
  O  O37  1  0.901025  0.481015  0.319162  1
  O  O38  1  0.997388  0.205733  0.078577  1
  O  O39  1  0.921216  0.340630  0.831966  1
  O  O40  1  0.661100  0.815765  0.677063  1
  O  O41  1  0.617046  0.905811  0.322433  1
  O  O42  1  0.817915  0.516446  0.672442  1
  O  O43  1  0.658573  0.673890  0.018182  1
  O  O44  1  0.672081  0.665710  0.523151  1
  O  O45  1  0.676564  0.512306  0.162182  1
  O  O46  1  0.479433  0.898793  0.831583  1
  O  O47  1  0.510634  0.814731  0.166936  1
  O  O48  1  0.745621  0.338329  0.335403  1
  O  O49  1  0.792602  0.208856  0.751627  1
  O  O50  1  0.758683  0.242683  0.571023  1
  O  O51  1  0.791079  0.228043  0.932681  1
  O  O52  1  0.627410  0.480169  0.832342  1
  O  O53  1  0.515472  0.668178  0.667164  1
  O  O54  1  0.658698  0.253831  0.158138  1
  O  O55  1  0.480642  0.616994  0.320897  1
  O  O56  1  0.343630  0.912857  0.332867  1
  O  O57  1  0.791267  0.001562  0.251612  1
  O  O58  1  0.753687  0.009524  0.430354  1
  O  O59  1  0.234857  0.990940  0.574808  1
  O  O60  1  0.658780  0.087457  0.664041  1
  O  O61  1  0.524248  0.383913  0.679904  1
  O  O62  1  0.343742  0.742358  0.833877  1
  O  O63  1  0.487455  0.330309  0.329964  1
  O  O64  1  0.379242  0.533392  0.168959  1
  O  O65  1  0.210933  0.793584  0.076911  1
  O  O66  1  0.247865  0.758646  0.432833  1
  O  O67  1  0.202492  0.787513  0.256944  1
  O  O68  1  0.251863  0.664692  0.660770  1
  O  O69  1  0.478046  0.181127  0.823126  1
  O  O70  1  0.532357  0.082585  0.171142  1
  O  O71  1  0.332782  0.477595  0.829221  1
  O  O72  1  0.331378  0.320568  0.975903  1
  O  O73  1  0.339256  0.325739  0.476251  1
  O  O74  1  0.185827  0.486584  0.331667  1
  O  O75  1  0.382159  0.089830  0.677232  1
  O  O76  1  0.337075  0.186074  0.321164  1
  O  O77  1  0.082971  0.659605  0.161365  1
  O  O78  1  0.997049  0.793397  0.749249  1
  O  O79  1  0.984847  0.783466  0.931303  1
  O  O80  1  0.095072  0.524179  0.682118  1
  O  O81  1  0.183489  0.333326  0.824490  1
  O  O82  1  0.085936  0.378854  0.169173  1
  O  O83  1  0.258673  0.080919  0.162571  1
  O  O84  1  0.232354  0.986023  0.935994  1
  O  O85  1  0.205280  0.008481  0.756673  1
  O  O86  1  0.084999  0.254343  0.659949  1
  O  O87  1  0.988106  0.255098  0.436114  1
  O  O88  1  0.010133  0.202098  0.258012  1
",0.9971,mp-779467,Li9V6(P8O29)2
"# generated using pymatgen
data_BaH6(C2O5)2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.48101718
_cell_length_b   7.78801437
_cell_length_c   11.78913011
_cell_angle_alpha   76.82400300
_cell_angle_beta   76.55801738
_cell_angle_gamma   69.39716447
_symmetry_Int_Tables_number   1
_chemical_formula_structural   BaH6(C2O5)2
_chemical_formula_sum   'Ba2 H12 C8 O20'
_cell_volume   452.20252208
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ba  Ba0  1  0.826582  0.250000  0.750000  1
  Ba  Ba1  1  0.173418  0.750000  0.250000  1
  H  H2  1  0.202944  0.325521  0.456794  1
  H  H3  1  0.985259  0.174479  0.043206  1
  H  H4  1  0.797056  0.674479  0.543206  1
  H  H5  1  0.014741  0.825521  0.956794  1
  H  H6  1  0.445068  0.943550  0.688175  1
  H  H7  1  0.076794  0.556450  0.811825  1
  H  H8  1  0.554932  0.056450  0.311825  1
  H  H9  1  0.923206  0.443550  0.188175  1
  H  H10  1  0.302365  0.799686  0.757168  1
  H  H11  1  0.859218  0.700314  0.742832  1
  H  H12  1  0.697635  0.200314  0.242832  1
  H  H13  1  0.140782  0.299686  0.257168  1
  C  C14  1  0.923700  0.932178  0.537761  1
  C  C15  1  0.393639  0.567822  0.962239  1
  C  C16  1  0.076300  0.067822  0.462239  1
  C  C17  1  0.606361  0.432178  0.037761  1
  C  C18  1  0.417206  0.432527  0.517984  1
  C  C19  1  0.367717  0.067473  0.982016  1
  C  C20  1  0.582794  0.567473  0.482016  1
  C  C21  1  0.632283  0.932527  0.017984  1
  O  O22  1  0.379755  0.353182  0.620435  1
  O  O23  1  0.353371  0.146818  0.879565  1
  O  O24  1  0.620245  0.646818  0.379565  1
  O  O25  1  0.646629  0.853182  0.120435  1
  O  O26  1  0.776251  0.972738  0.633468  1
  O  O27  1  0.382457  0.527262  0.866532  1
  O  O28  1  0.223749  0.027262  0.366532  1
  O  O29  1  0.617543  0.472738  0.133468  1
  O  O30  1  0.035925  0.214733  0.504806  1
  O  O31  1  0.755464  0.285267  0.995194  1
  O  O32  1  0.964075  0.785267  0.495194  1
  O  O33  1  0.244536  0.714733  0.004806  1
  O  O34  1  0.269611  0.926112  0.713303  1
  O  O35  1  0.909026  0.573888  0.786697  1
  O  O36  1  0.730389  0.073888  0.286697  1
  O  O37  1  0.090974  0.426112  0.213303  1
  O  O38  1  0.326343  0.415685  0.428385  1
  O  O39  1  0.170413  0.084315  0.071615  1
  O  O40  1  0.673657  0.584315  0.571615  1
  O  O41  1  0.829587  0.915685  0.928385  1
",3.159,mp-1202302,BaH6(C2O5)2
"# generated using pymatgen
data_MoPO5
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   13.05341018
_cell_length_b   6.48225171
_cell_length_c   10.86051599
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   MoPO5
_chemical_formula_sum   'Mo8 P8 O40'
_cell_volume   918.96788715
_cell_formula_units_Z   8
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Mo  Mo0  1  0.118517  0.025240  0.525089  1
  Mo  Mo1  1  0.240619  0.250172  0.259253  1
  Mo  Mo2  1  0.259381  0.750172  0.759253  1
  Mo  Mo3  1  0.381483  0.525240  0.025089  1
  Mo  Mo4  1  0.618517  0.474760  0.525089  1
  Mo  Mo5  1  0.740619  0.249828  0.259253  1
  Mo  Mo6  1  0.759381  0.749828  0.759253  1
  Mo  Mo7  1  0.881483  0.974760  0.025089  1
  O  O8  1  0.988323  0.951185  0.891665  1
  O  O9  1  0.015733  0.007272  0.663084  1
  O  O10  1  0.087426  0.299740  0.240268  1
  O  O11  1  0.109912  0.713808  0.491373  1
  O  O12  1  0.104013  0.711048  0.771798  1
  O  O13  1  0.116037  0.336010  0.541617  1
  O  O14  1  0.217218  0.065591  0.379328  1
  O  O15  1  0.239417  0.069379  0.109634  1
  O  O16  1  0.223322  0.978190  0.630788  1
  O  O17  1  0.242606  0.484742  0.385480  1
  O  O18  1  0.257394  0.984742  0.885480  1
  O  O19  1  0.276678  0.478190  0.130788  1
  O  O20  1  0.260583  0.569379  0.609634  1
  O  O21  1  0.282782  0.565591  0.879328  1
  O  O22  1  0.383963  0.836010  0.041617  1
  O  O23  1  0.395987  0.211048  0.271798  1
  O  O24  1  0.390088  0.213808  0.991373  1
  O  O25  1  0.412574  0.799740  0.740268  1
  O  O26  1  0.484267  0.507272  0.163084  1
  O  O27  1  0.511677  0.451185  0.391665  1
  O  O28  1  0.488323  0.548815  0.891665  1
  O  O29  1  0.515733  0.492728  0.663084  1
  O  O30  1  0.587426  0.200260  0.240268  1
  O  O31  1  0.609912  0.786192  0.491373  1
  O  O32  1  0.604013  0.788952  0.771798  1
  O  O33  1  0.616037  0.163990  0.541617  1
  O  O34  1  0.717218  0.434409  0.379328  1
  O  O35  1  0.739417  0.430621  0.109634  1
  O  O36  1  0.723322  0.521810  0.630788  1
  O  O37  1  0.742606  0.015258  0.385480  1
  O  O38  1  0.757394  0.515258  0.885480  1
  O  O39  1  0.776678  0.021810  0.130788  1
  O  O40  1  0.760583  0.930621  0.609634  1
  O  O41  1  0.782782  0.934409  0.879328  1
  O  O42  1  0.883963  0.663990  0.041617  1
  O  O43  1  0.895987  0.288952  0.271798  1
  O  O44  1  0.890088  0.286192  0.991373  1
  O  O45  1  0.912574  0.700260  0.740268  1
  O  O46  1  0.984267  0.992728  0.163084  1
  O  O47  1  0.011677  0.048815  0.391665  1
  P  P48  1  0.005702  0.841946  0.765936  1
  P  P49  1  0.181363  0.526103  0.504776  1
  P  P50  1  0.318637  0.026103  0.004776  1
  P  P51  1  0.494298  0.341946  0.265936  1
  P  P52  1  0.505702  0.658054  0.765936  1
  P  P53  1  0.681363  0.973897  0.504776  1
  P  P54  1  0.818637  0.473897  0.004776  1
  P  P55  1  0.994298  0.158054  0.265936  1
",1.1838,mp-504414,MoPO5
"# generated using pymatgen
data_Mn2AlO4
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   10.42931653
_cell_length_b   6.28723202
_cell_length_c   4.96629573
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Mn2AlO4
_chemical_formula_sum   'Mn8 Al4 O16'
_cell_volume   325.64762352
_cell_formula_units_Z   4
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Mn  Mn0  1  0.000000  0.000000  0.000000  1
  Mn  Mn1  1  0.000000  0.500000  0.000000  1
  Mn  Mn2  1  0.221692  0.750000  0.472594  1
  Mn  Mn3  1  0.278308  0.250000  0.972594  1
  Mn  Mn4  1  0.500000  0.000000  0.500000  1
  Mn  Mn5  1  0.500000  0.500000  0.500000  1
  Mn  Mn6  1  0.721692  0.750000  0.027406  1
  Mn  Mn7  1  0.778308  0.250000  0.527406  1
  Al  Al8  1  0.090021  0.250000  0.423746  1
  Al  Al9  1  0.409979  0.750000  0.923746  1
  Al  Al10  1  0.590021  0.250000  0.076254  1
  Al  Al11  1  0.909979  0.750000  0.576254  1
  O  O12  1  0.063544  0.750000  0.751576  1
  O  O13  1  0.094791  0.250000  0.771465  1
  O  O14  1  0.149881  0.020717  0.249378  1
  O  O15  1  0.149881  0.479283  0.249378  1
  O  O16  1  0.350119  0.520717  0.749378  1
  O  O17  1  0.350119  0.979283  0.749378  1
  O  O18  1  0.405209  0.750000  0.271465  1
  O  O19  1  0.436456  0.250000  0.251576  1
  O  O20  1  0.563544  0.750000  0.748424  1
  O  O21  1  0.594791  0.250000  0.728535  1
  O  O22  1  0.649881  0.020717  0.250622  1
  O  O23  1  0.649881  0.479283  0.250622  1
  O  O24  1  0.850119  0.520717  0.750622  1
  O  O25  1  0.850119  0.979283  0.750622  1
  O  O26  1  0.905209  0.750000  0.228535  1
  O  O27  1  0.936456  0.250000  0.248424  1
",0.2359,mp-768538,Mn2AlO4
"# generated using pymatgen
data_LiVP3HO10
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   6.52101964
_cell_length_b   7.53599988
_cell_length_c   8.24434273
_cell_angle_alpha   106.65100724
_cell_angle_beta   109.38283230
_cell_angle_gamma   83.34471433
_symmetry_Int_Tables_number   1
_chemical_formula_structural   LiVP3HO10
_chemical_formula_sum   'Li2 V2 P6 H2 O20'
_cell_volume   366.06119668
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Li  Li0  1  0.288378  0.685695  0.404447  1
  Li  Li1  1  0.711622  0.314305  0.595553  1
  V  V2  1  0.189274  0.638431  0.979879  1
  V  V3  1  0.810726  0.361569  0.020121  1
  P  P4  1  0.137192  0.033893  0.866126  1
  P  P5  1  0.313341  0.245749  0.693823  1
  P  P6  1  0.378409  0.311777  0.164528  1
  P  P7  1  0.621591  0.688223  0.835472  1
  P  P8  1  0.686659  0.754251  0.306177  1
  P  P9  1  0.862808  0.966107  0.133874  1
  H  H10  1  0.315278  0.220781  0.423977  1
  H  H11  1  0.684722  0.779219  0.576023  1
  O  O12  1  0.105392  0.830501  0.829130  1
  O  O13  1  0.165985  0.402800  0.755775  1
  O  O14  1  0.271345  0.060860  0.743381  1
  O  O15  1  0.237693  0.166402  0.486463  1
  O  O16  1  0.061759  0.839049  0.157952  1
  O  O17  1  0.167401  0.438248  0.121976  1
  O  O18  1  0.297666  0.100038  0.065917  1
  O  O19  1  0.473740  0.652593  0.929744  1
  O  O20  1  0.556273  0.279884  0.754653  1
  O  O21  1  0.470887  0.319904  0.360519  1
  O  O22  1  0.529113  0.680096  0.639481  1
  O  O23  1  0.443727  0.720116  0.245347  1
  O  O24  1  0.526260  0.347407  0.070256  1
  O  O25  1  0.702334  0.899962  0.934083  1
  O  O26  1  0.832599  0.561752  0.878024  1
  O  O27  1  0.938241  0.160951  0.842048  1
  O  O28  1  0.762307  0.833598  0.513537  1
  O  O29  1  0.728656  0.939140  0.256619  1
  O  O30  1  0.834015  0.597200  0.244225  1
  O  O31  1  0.894608  0.169499  0.170870  1
",2.7427,mp-780195,LiVP3HO10
