smiles,bandgap,formulas
CSc1cccc(C(=O)c2ccc(-n3c4ccc(C)cc4c4cc(-c5c(C)c(C)cc(C)c5C)ccc43)cc2)c1,3.0819,C37H33NOS
CN(C)c1ccc(Oc2cnc3oc4ncccc4c3c2)cc1,3.2434,C18H15N3O2
Cc1cc(-c2cc(C(F)(F)F)c(C(F)(F)F)cc2-c2cc(C)c(-n3ccc4cc5ccoc5cc43)c(C)c2)cc(C)c1-n1ccc2cc3ccoc3cc21,3.0379,C44H30F6N2O2
Cc1cc(-c2cccc(C(=O)C(F)(F)F)c2)ccc1-c1ccc(-n2c3ccc(N(c4ccccc4)c4ccccc4)cc3c3cc(N(c4ccccc4)c4ccccc4)ccc32)cc1,2.1996,C57H40F3N3O
CSc1cc(C(=O)c2cc(C)cc(C)c2)cc(-c2c(C)c(C)c(-c3ccc4c(c3)c3cc(SC)ccc3n4C)c(C)c2C)c1,3.5064,C40H39NOS2
O=C(c1ccccc1)c1cccc(-c2ccc(-n3c4ccccc4c4cc(-c5ccc(N6c7ccccc7Oc7ccccc76)cc5)ccc43)cc2)c1,2.5256,C49H32N2O2
COc1ccc(/N=C/C(=C(/C=N/c2ccc(OC)cc2)C(C)(C)C)C(C)(C)C)cc1,4.1539,C26H34N2O2
Cc1cc(-c2cnc3cnncc3c2)c(C)cc1-c1cccc(-c2ccc(P(c3ccccc3)c3ccccc3)cc2)c1,3.2558,C39H30N3P
COc1ccc([C+](c2ccc(C#N)cc2)c2ccc(OC)cc2)cc1,2.8045,C22H18NO2+
c1ccc2c(c1)nnn2-c1ccc(-c2cc(-c3ccc(-n4nnc5ccccc54)cc3)cc(-c3cnc4cnncc4c3)c2)cc1,3.1875,C37H23N9
CSc1cc(C(=O)c2c(C)cc(C)cc2C)cc(-c2c(C)c(C)c(N(C)c3ccccc3)c(C)c2C)c1,3.0415,C34H37NOS
Cc1cc(C)c(-c2ccc(N(C)c3cc(C(=O)c4c(C)cccc4C)cc(N(C)c4ccc(-c5c(C)cc(C)cc5C)cc4)c3)cc2)c(C)c1,3.1508,C47H48N2O
O=C(c1ccccc1)c1ccc(-c2ccc(-c3ccc(N4c5ccccc5Sc5cc(-n6c7ccccc7c7ccccc76)ccc54)cc3)cc2)cc1,2.8144,C49H32N2OS
c1ccc(N(c2ccccc2)c2ccc3c(c2)c2ccccc2n3-c2cc(C3CCCC(n4nnc5ccccc54)C3)cc(C3CCCC(n4nnc5ccccc54)C3)c2)cc1,3.3258,C54H48N8
Cc1cc(-c2ccc(-c3ccc(-c4ccc(-c5cc(C)c(-c6cc(-c7ccccc7)nc(-c7ccccc7)n6)c(C)c5)cc4)nn3)cc2)cc(C)c1-c1cc(-c2ccccc2)nc(-c2ccccc2)n1,3.3383,C64H48N6
c1ccc(-n2c3cc(C4CCCC(c5cc(-c6cnc7ccccc7c6)cc(-c6cnc7ccccc7c6)c5)C4)ccc3c3ccc(C4CC(c5cc(-c6cnc7ccccc7c6)cc(-c6cnc7ccccc7c6)c5)C4)cc32)cc1,3.4923,C78H61N5
O=c1c2ccccc2n(-c2cc(-c3ccc(-c4ncc5ccccc5n4)cc3)c(-c3ccc(-c4ncc5ccccc5n4)cc3)cc2-n2c3ccccc3c(=O)c3ccccc32)c2ccccc12,2.9403,C60H36N6O2
FC(F)(F)c1ccc(-c2cccc(-c3ccc4c(c3)Oc3cc(-c5cccc(-c6ccc(C(F)(F)F)cc6)c5)ccc3N4c3ccc(N4c5ccccc5Oc5ccccc54)cc3)c2)cc1,2.9851,C56H34F6N2O2
c1ccc(-n2ccc3c(C4CCC(c5cccc(-c6nc7nc8nc(-c9cccc(C%10CCC(c%11nccc%12c%11ccn%12-c%11ccccc%11)CC%10)c9)oc8cc7o6)c5)CC4)nccc32)cc1,3.5321,C57H47N7O2
